date,arrivals,year,month,country,month_sin,month_cos,time_index,is_covid,is_spring_trek,is_autumn_trek,is_monsoon,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6
2001-11-01,30282.0,2001,11,Total,-0.8660254037844386,0.5000000000000001,82,0,0,1,0,41245.0,31170.0,25322.0,52993.0,32579.0,8054.467269782632,26240.166666666668,9917.829347526882
2001-12-01,18588.0,2001,12,Total,-0.5000000000000004,0.8660254037844384,83,0,0,0,0,30282.0,41245.0,31170.0,40644.0,34232.333333333336,6089.355986747122,26563.0,10030.926776724016
2002-01-01,17176.0,2002,1,Total,0.0,1.0,84,0,0,0,0,18588.0,30282.0,41245.0,30454.0,30038.333333333332,11330.465230224794,27489.333333333332,8699.510737200433
2002-02-01,20668.0,2002,2,Total,0.49999999999999994,0.8660254037844387,85,0,0,0,0,17176.0,18588.0,30282.0,38680.0,22015.333333333332,7193.8702610856835,27297.166666666668,8951.413350229426
2002-03-01,28815.0,2002,3,Total,0.8660254037844386,0.5000000000000001,86,0,1,0,0,20668.0,17176.0,18588.0,46709.0,18810.666666666668,1756.6164445697839,26521.5,9349.584156527973
2002-04-01,21253.0,2002,4,Total,1.0,6.123233995736766e-17,87,0,1,0,0,28815.0,20668.0,17176.0,39083.0,22219.666666666668,5972.631943568345,26129.0,9162.978467725376
2002-05-01,19887.0,2002,5,Total,0.8660254037844387,-0.4999999999999998,88,0,1,0,0,21253.0,28815.0,20668.0,28345.0,23578.666666666668,4544.221202068951,22797.0,5449.209997788547
2002-06-01,17218.0,2002,6,Total,0.49999999999999994,-0.8660254037844387,89,0,0,0,1,19887.0,21253.0,28815.0,13030.0,23318.333333333332,4809.001698204418,21064.5,4071.9279340379485
2002-07-01,16621.0,2002,7,Total,1.2246467991473532e-16,-1.0,90,0,0,0,1,17218.0,19887.0,21253.0,18329.0,19452.666666666668,2052.264684033951,20836.166666666668,4272.064578943676
2002-08-01,21093.0,2002,8,Total,-0.4999999999999997,-0.8660254037844388,91,0,0,0,1,16621.0,17218.0,19887.0,25322.0,17908.666666666668,1739.0958378804135,20743.666666666668,4372.005291243962
2002-09-01,23752.0,2002,9,Total,-0.8660254037844384,-0.5000000000000004,92,0,0,1,0,21093.0,16621.0,17218.0,31170.0,18310.666666666668,2427.9901839449385,20814.5,4373.97657744055
2002-10-01,35272.0,2002,10,Total,-1.0,-1.8369701987210297e-16,93,0,0,1,0,23752.0,21093.0,16621.0,41245.0,20488.666666666668,3603.707026567639,19970.666666666668,2683.53995063706
2002-11-01,28723.0,2002,11,Total,-0.8660254037844386,0.5000000000000001,94,0,0,1,0,35272.0,23752.0,21093.0,30282.0,26705.666666666668,7536.850823343459,22307.166666666668,6866.410457194159
2002-12-01,24990.0,2002,12,Total,-0.5000000000000004,0.8660254037844384,95,0,0,0,0,28723.0,35272.0,23752.0,18588.0,29249.0,5777.984683261078,23779.833333333332,7183.748197610032
2003-01-01,21215.0,2003,1,Total,0.0,1.0,96,0,0,0,0,24990.0,28723.0,35272.0,17176.0,29661.666666666668,5204.872941132469,25075.166666666668,6424.4954172810685
2003-02-01,24349.0,2003,2,Total,0.49999999999999994,0.8660254037844387,97,0,0,0,0,21215.0,24990.0,28723.0,20668.0,24976.0,3754.019579064504,25840.833333333332,5408.903527210066
2003-03-01,27737.0,2003,3,Total,0.8660254037844386,0.5000000000000001,98,0,1,0,0,24349.0,21215.0,24990.0,28815.0,23518.0,2020.0438114059891,26383.5,4983.932373136584
2003-04-01,25851.0,2003,4,Total,1.0,6.123233995736766e-17,99,0,1,0,0,27737.0,24349.0,21215.0,21253.0,24433.666666666668,3261.8242339729104,27047.666666666668,4826.144948783196
2003-05-01,22704.0,2003,5,Total,0.8660254037844387,-0.4999999999999998,100,0,1,0,0,25851.0,27737.0,24349.0,19887.0,25979.0,1697.6230441413163,25477.5,2663.012861403191
2003-06-01,20351.0,2003,6,Total,0.49999999999999994,-0.8660254037844387,101,0,0,0,1,22704.0,25851.0,27737.0,17218.0,25430.666666666668,2542.691946212314,24474.333333333332,2305.6087843919713
2003-07-01,22661.0,2003,7,Total,1.2246467991473532e-16,-1.0,102,0,0,0,1,20351.0,22704.0,25851.0,16621.0,22968.666666666668,2759.5355285505875,23701.166666666668,2818.8084302884754
2003-08-01,27568.0,2003,8,Total,-0.4999999999999997,-0.8660254037844388,103,0,0,0,1,22661.0,20351.0,22704.0,21093.0,21905.333333333332,1346.2638423923345,23942.166666666668,2618.4285681808074
2003-09-01,28724.0,2003,9,Total,-0.8660254037844384,-0.5000000000000004,104,0,0,1,0,27568.0,22661.0,20351.0,23752.0,23526.666666666668,3685.553734967511,24478.666666666668,3017.7806856472234
2003-10-01,45459.0,2003,10,Total,-1.0,-1.8369701987210297e-16,105,0,0,1,0,28724.0,27568.0,22661.0,35272.0,26317.666666666668,3219.0825297486494,24643.166666666668,3248.961644382007
2003-11-01,38398.0,2003,11,Total,-0.8660254037844386,0.5000000000000001,106,0,0,1,0,45459.0,28724.0,27568.0,28723.0,33917.0,10012.362708172313,27911.166666666668,9171.039971926066
2003-12-01,33115.0,2003,12,Total,-0.5000000000000004,0.8660254037844384,107,0,0,0,0,38398.0,45459.0,28724.0,24990.0,37527.0,8401.430651978246,30526.833333333332,9616.118622743055
2004-01-01,30988.0,2004,1,Total,0.0,1.0,108,0,0,0,0,33115.0,38398.0,45459.0,21215.0,38990.666666666664,6193.304799001334,32654.166666666668,8226.134290580596
2004-02-01,35631.0,2004,2,Total,0.49999999999999994,0.8660254037844387,109,0,0,0,0,30988.0,33115.0,38398.0,24349.0,34167.0,3815.3706241988607,34042.0,6777.944673719266
2004-03-01,44290.0,2004,3,Total,0.8660254037844386,0.5000000000000001,110,0,1,0,0,35631.0,30988.0,33115.0,27737.0,33244.666666666664,2324.214347544766,35385.833333333336,5991.320168933231
2004-04-01,33514.0,2004,4,Total,1.0,6.123233995736766e-17,111,0,1,0,0,44290.0,35631.0,30988.0,25851.0,36969.666666666664,6751.283013867287,37980.166666666664,5899.158496486281
2004-05-01,26802.0,2004,5,Total,0.8660254037844387,-0.4999999999999998,112,0,1,0,0,33514.0,44290.0,35631.0,22704.0,37811.666666666664,5709.380380858588,35989.333333333336,4779.823162698195
2004-06-01,19793.0,2004,6,Total,0.49999999999999994,-0.8660254037844387,113,0,0,0,1,26802.0,33514.0,44290.0,20351.0,34868.666666666664,8822.3510094154,34056.666666666664,5838.283366424252
2004-07-01,24860.0,2004,7,Total,1.2246467991473532e-16,-1.0,114,0,0,0,1,19793.0,26802.0,33514.0,22661.0,26703.0,6861.0357089873505,31836.333333333332,8287.50786827174
2004-08-01,33162.0,2004,8,Total,-0.4999999999999997,-0.8660254037844388,115,0,0,0,1,24860.0,19793.0,26802.0,27568.0,23818.333333333332,3618.74596142543,30815.0,8776.158157189242
2004-09-01,25496.0,2004,9,Total,-0.8660254037844384,-0.5000000000000004,116,0,0,1,0,33162.0,24860.0,19793.0,28724.0,25938.333333333332,6749.4179255201625,30403.5,8560.412601037362
2004-10-01,43373.0,2004,10,Total,-1.0,-1.8369701987210297e-16,117,0,0,1,0,25496.0,33162.0,24860.0,45459.0,27839.333333333332,4620.520461304432,27271.166666666668,5268.4517808048495
2004-11-01,36381.0,2004,11,Total,-0.8660254037844386,0.5000000000000001,118,0,0,1,0,43373.0,25496.0,33162.0,38398.0,34010.333333333336,8968.641721762166,28914.333333333332,8281.050770685193
2004-12-01,31007.0,2004,12,Total,-0.5000000000000004,0.8660254037844384,119,0,0,0,0,36381.0,43373.0,25496.0,33115.0,35083.333333333336,9008.869869930026,30510.833333333332,8704.887073745753
2005-01-01,25477.0,2005,1,Total,0.0,1.0,120,0,0,0,0,31007.0,36381.0,43373.0,30988.0,36920.333333333336,6200.616851034504,32379.833333333332,6975.536665136667
2005-02-01,20338.0,2005,2,Total,0.49999999999999994,0.8660254037844387,121,0,0,0,0,25477.0,31007.0,36381.0,35631.0,30955.0,5452.185983621582,32482.666666666668,6845.850207729203
2005-03-01,29875.0,2005,3,Total,0.8660254037844386,0.5000000000000001,122,0,1,0,0,20338.0,25477.0,31007.0,44290.0,25607.333333333332,5335.693987976906,30345.333333333332,8413.68643738676
2005-04-01,23414.0,2005,4,Total,1.0,6.123233995736766e-17,123,0,1,0,0,29875.0,20338.0,25477.0,33514.0,25230.0,4773.295402549434,31075.166666666668,8092.710755158985
2005-05-01,25541.0,2005,5,Total,0.8660254037844387,-0.4999999999999998,124,0,1,0,0,23414.0,29875.0,20338.0,26802.0,24542.333333333332,4867.591224962597,27748.666666666668,5805.566179681859
2005-06-01,22608.0,2005,6,Total,0.49999999999999994,-0.8660254037844387,125,0,0,0,1,25541.0,23414.0,29875.0,19793.0,26276.666666666668,3292.724454510718,25942.0,3982.3445355718636
2005-07-01,23996.0,2005,7,Total,1.2246467991473532e-16,-1.0,126,0,0,0,1,22608.0,25541.0,23414.0,24860.0,23854.333333333332,1515.2697229644853,24542.166666666668,3255.747865954257
2005-08-01,36910.0,2005,8,Total,-0.4999999999999997,-0.8660254037844388,127,0,0,0,1,23996.0,22608.0,25541.0,33162.0,24048.333333333332,1467.200168120516,24295.333333333332,3226.710254526379
2005-09-01,36066.0,2005,9,Total,-0.8660254037844384,-0.5000000000000004,128,0,0,1,0,36910.0,23996.0,22608.0,25496.0,27838.0,7887.174652560927,27057.333333333332,5472.764554287514
2005-10-01,51498.0,2005,10,Total,-1.0,-1.8369701987210297e-16,129,0,0,1,0,36066.0,36910.0,23996.0,43373.0,32324.0,7224.5949367421035,28089.166666666668,6581.557700625731
2005-11-01,41505.0,2005,11,Total,-0.8660254037844386,0.5000000000000001,130,0,0,1,0,51498.0,36066.0,36910.0,36381.0,41491.333333333336,8676.29629123701,32769.833333333336,11056.662795195758
2005-12-01,38170.0,2005,12,Total,-0.5000000000000004,0.8660254037844384,131,0,0,0,0,41505.0,51498.0,36066.0,31007.0,43023.0,7827.189725565605,35430.5,10888.720618144243
2006-01-01,28769.0,2006,1,Total,0.0,1.0,132,0,0,0,0,38170.0,41505.0,51498.0,25477.0,43724.333333333336,6935.630925397711,38024.166666666664,8894.345359084407
2006-02-01,25728.0,2006,2,Total,0.49999999999999994,0.8660254037844387,133,0,0,0,0,28769.0,38170.0,41505.0,20338.0,36148.0,6604.376352086512,38819.666666666664,7491.576941249847
2006-03-01,36873.0,2006,3,Total,0.8660254037844386,0.5000000000000001,134,0,1,0,0,25728.0,28769.0,38170.0,29875.0,30889.0,6486.2655665644315,36956.0,9246.880706486898
2006-04-01,21983.0,2006,4,Total,1.0,6.123233995736766e-17,135,0,1,0,0,36873.0,25728.0,28769.0,23414.0,30456.666666666668,5760.982584015744,37090.5,9237.21020113755
2006-05-01,22870.0,2006,5,Total,0.8660254037844387,-0.4999999999999998,136,0,1,0,0,21983.0,36873.0,25728.0,25541.0,28194.666666666668,7745.408855143326,32171.333333333332,7773.05033218401
